Study,Authors,Year (online),Year (print),Title,Journal,Pub year IF,2017 IF,Average n,Effect type,Species,Climate (FishBase),Env cue/stimulus?,Cue/stimulus type,Behavioural metric,Life stage,ctrl.n,ctrl.mean,ctrl.sd,oa.n,oa.mean,oa.sd
a14,Nilsson et al,2012,2012,Near-future carbon dioxide levels alter fish behaviour by interfering with neurotransmitter function,Nat Clim Chang,14.472,19.181,14,Strong,Amphiprion percula,Trop,Yes,Predator,"% time in cue, pred vs. seawater",Larvae,9,1.053,1.578,14,91.538,3.8389
a14,Nilsson et al,2012,2012,Near-future carbon dioxide levels alter fish behaviour by interfering with neurotransmitter function,Nat Clim Chang,14.472,19.181,14,Strong,Amphiprion percula,Trop,Yes,Predator,"% time in cue, pred vs. non-pred",Larvae,14,7.348,4.7818,16,53.994,5.112
a14,Nilsson et al,2012,2012,Near-future carbon dioxide levels alter fish behaviour by interfering with neurotransmitter function,Nat Clim Chang,14.472,19.181,14,Strong,Neopomacentrus azysron,Trop,No,-,Absolute lateralization,Larvae,15,38.607,30.2054,15,29.053,24.1674
a15,Nowicki et al,2012,2012,Interactive effects of elevated temperature and CO2 on foraging behavior of juvenile coral reef fish,J Exp Mar Biol Ecol,2.263,1.99,30,No,Amphiprion melanopus,Trop,No,-,"Line crosses (routine), Mid CO2",Juvenile,30,26.437,12.8529,30,38.218,25.7014
a15,Nowicki et al,2012,2012,Interactive effects of elevated temperature and CO2 on foraging behavior of juvenile coral reef fish,J Exp Mar Biol Ecol,2.263,1.99,30,No,Amphiprion melanopus,Trop,No,-,"Line crosses (routine), High CO2",Juvenile,30,26.437,12.8529,30,35.057,21.8464
a15,Nowicki et al,2012,2012,Interactive effects of elevated temperature and CO2 on foraging behavior of juvenile coral reef fish,J Exp Mar Biol Ecol,2.263,1.99,30,No,Amphiprion melanopus,Trop,Yes,Food,"Food strikes, Mid CO2",Juvenile,30,99.259,33.1251,30,93.333,39.7528
a15,Nowicki et al,2012,2012,Interactive effects of elevated temperature and CO2 on foraging behavior of juvenile coral reef fish,J Exp Mar Biol Ecol,2.263,1.99,30,No,Amphiprion melanopus,Trop,Yes,Food,"Food strikes, High CO2",Juvenile,30,99.259,33.1251,30,82.963,26.5019
a15,Nowicki et al,2012,2012,Interactive effects of elevated temperature and CO2 on foraging behavior of juvenile coral reef fish,J Exp Mar Biol Ecol,2.263,1.99,30,No,Amphiprion melanopus,Trop,Yes,Food,"Line crosses (feeding), Mid CO2",Juvenile,30,33.957,17.9377,30,35.561,20.3259
a15,Nowicki et al,2012,2012,Interactive effects of elevated temperature and CO2 on foraging behavior of juvenile coral reef fish,J Exp Mar Biol Ecol,2.263,1.99,30,No,Amphiprion melanopus,Trop,Yes,Food,"Line crosses (feeding), High CO2",Juvenile,30,33.957,17.9377,30,32.086,20.3259
a16,Sundin et al,2012,2012,Altered Oceanic pH Impairs Mating Propensity in a Pipefish,Ethology,1.947,1.697,20,No,Syngnathus typhle,Temp,Yes,Mate,Time swimming,Adult,22,935.933,188.1373,18,812.256,198.5429
a17,Allan et al ,2013,2013,Elevated CO2 Affects Predator-Prey Interactions through Altered Performance,PLOS One,3.534,2.766,18,Strong,Pomacentrus amboinensis,Trop,Yes,Predator,Reaction distance,Larvae,19,0.06,0.033,19,0.043,0.028
a17,Allan et al ,2013,2013,Elevated CO2 Affects Predator-Prey Interactions through Altered Performance,PLOS One,3.534,2.766,18,Strong,Pomacentrus amboinensis,Trop,Yes,Predator,Apparent looming threshold,Larvae,17,5.49,2.7295,16,6,3.2753
a17,Allan et al ,2013,2013,Elevated CO2 Affects Predator-Prey Interactions through Altered Performance,PLOS One,3.534,2.766,18,Strong,Pomacentrus amboinensis,Trop,Yes,Predator,Escape distance,Larvae,17,0.091,0.3923,18,0.051,0.0349
a17,Allan et al ,2013,2013,Elevated CO2 Affects Predator-Prey Interactions through Altered Performance,PLOS One,3.534,2.766,18,Strong,Pseudochromis fuscus,Trop,Yes,Prey,Predation rate,Larvae,21,0.142,0.2383,21,0.216,0.3116
a17,Allan et al ,2013,2013,Elevated CO2 Affects Predator-Prey Interactions through Altered Performance,PLOS One,3.534,2.766,18,Strong,Pseudochromis fuscus,Trop,Yes,Prey,Predator attack distance,Larvae,17,0.07,0.0289,16,0.079,0.032
a18,Bignami et al,2012,2013,"Response to ocean acidification in larvae of a large tropical marine fish, Rachycentron canadum",Glob Change Biol,6.91,8.997,60,No,Rachycentron canadum,Subtrop,No,-,"Mean track length, Mid CO2, routine",Larvae,60,42.27,34.2372,60,39.27,16.8862
a18,Bignami et al,2012,2013,"Response to ocean acidification in larvae of a large tropical marine fish, Rachycentron canadum",Glob Change Biol,6.91,8.997,60,No,Rachycentron canadum,Subtrop,No,-,"Mean track length, High CO2, routine",Larvae,60,42.27,34.2372,60,40.15,24.3998
a18,Bignami et al,2012,2013,"Response to ocean acidification in larvae of a large tropical marine fish, Rachycentron canadum",Glob Change Biol,6.91,8.997,60,No,Rachycentron canadum,Subtrop,No,-,"Mean speed, Mid CO2, routine",Larvae,60,0.35,0.3098,60,0.327,0.1549
a18,Bignami et al,2012,2013,"Response to ocean acidification in larvae of a large tropical marine fish, Rachycentron canadum",Glob Change Biol,6.91,8.997,60,No,Rachycentron canadum,Subtrop,No,-,"Mean speed, High CO2, routine",Larvae,60,0.35,0.3098,60,0.34,0.2324
a18,Bignami et al,2012,2013,"Response to ocean acidification in larvae of a large tropical marine fish, Rachycentron canadum",Glob Change Biol,6.91,8.997,60,No,Rachycentron canadum,Subtrop,No,-,"Max speed, Mid CO2, routine",Larvae,60,3.79,3.4082,60,3.39,1.3943
a18,Bignami et al,2012,2013,"Response to ocean acidification in larvae of a large tropical marine fish, Rachycentron canadum",Glob Change Biol,6.91,8.997,60,No,Rachycentron canadum,Subtrop,No,-,"Max speed, High CO2, routine",Larvae,60,3.79,3.4082,60,3.7,1.2394
a18,Bignami et al,2012,2013,"Response to ocean acidification in larvae of a large tropical marine fish, Rachycentron canadum",Glob Change Biol,6.91,8.997,60,No,Rachycentron canadum,Subtrop,Yes,Food,"Mean track length, Mid CO2, olfactory stimulation",Larvae,60,41.35,7.9009,60,39.31,16.0342
a18,Bignami et al,2012,2013,"Response to ocean acidification in larvae of a large tropical marine fish, Rachycentron canadum",Glob Change Biol,6.91,8.997,60,No,Rachycentron canadum,Subtrop,Yes,Food,"Mean track length, High CO2, olfactory stimulation",Larvae,60,41.35,7.9009,60,34.94,27.1109
a18,Bignami et al,2012,2013,"Response to ocean acidification in larvae of a large tropical marine fish, Rachycentron canadum",Glob Change Biol,6.91,8.997,60,No,Rachycentron canadum,Subtrop,Yes,Food,"Mean speed, Mid CO2, olfactory stimulation",Larvae,60,0.35,0.0775,60,0.328,0.1549
a18,Bignami et al,2012,2013,"Response to ocean acidification in larvae of a large tropical marine fish, Rachycentron canadum",Glob Change Biol,6.91,8.997,60,No,Rachycentron canadum,Subtrop,Yes,Food,"Mean speed, High CO2, olfactory stimulation",Larvae,60,0.35,0.0775,60,0.29,0.2324
a18,Bignami et al,2012,2013,"Response to ocean acidification in larvae of a large tropical marine fish, Rachycentron canadum",Glob Change Biol,6.91,8.997,60,No,Rachycentron canadum,Subtrop,Yes,Food,"Max speed, Mid CO2, olfactory stimulation",Larvae,60,4,1.859,60,3.47,2.6336
a18,Bignami et al,2012,2013,"Response to ocean acidification in larvae of a large tropical marine fish, Rachycentron canadum",Glob Change Biol,6.91,8.997,60,No,Rachycentron canadum,Subtrop,Yes,Food,"Max speed, High CO2, olfactory stimulation",Larvae,60,4,1.859,60,3.43,4.4927
a19,Forsgen et al,2013,2013,Elevated CO 2 affects embryonic development and larval phototaxis in a temperate marine fish,Ecol Evol,1.658,2.34,10,Strong,Gobiusculus flavescens,Temp,Yes,Light,Phototaxis,Larvae,14,35.665,22.9064,11,62.281,22.951
a19,Forsgen et al,2013,2013,Elevated CO 2 affects embryonic development and larval phototaxis in a temperate marine fish,Ecol Evol,1.658,2.34,10,Strong,Gobiusculus flavescens,Temp,Yes,Light,Swim time,Larvae,7,64.115,22.6,7,39.479,13.2288
a20,Jutfelt & Hedgarde,2013,2013,"Atlantic cod actively avoid CO2 and predator odour, even after long-term CO2 exposure",Front Zool,2.304,3.627,16,Strong,Gadus morhua,Temp,Yes,Physical Seawater,% time in control water (vs. CO2 water),Juvenile,19,89.974,15.1515,12,85.768,18.2039
a20,Jutfelt & Hedgarde,2013,2013,"Atlantic cod actively avoid CO2 and predator odour, even after long-term CO2 exposure",Front Zool,2.304,3.627,16,Strong,Gadus morhua,Temp,Yes,Predator,% time in control water (vs. predator cue),Juvenile,19,63.433,18.2158,12,64.254,9.8242
a21,Jutfelt et al,2013,2013,Behavioural Disturbances in a Temperate Fish Exposed to Sustained High-CO2 Levels,PLOS One,3.534,2.766,21,Strong,Gasterosteus aculeatus,Subtrop,No,-,Absolute lateralization 20 days,Adult,20,41.667,21.6228,20,21.502,21.1666
a21,Jutfelt et al,2013,2013,Behavioural Disturbances in a Temperate Fish Exposed to Sustained High-CO2 Levels,PLOS One,3.534,2.766,21,Strong,Gasterosteus aculeatus,Subtrop,No,-,Absolute lateralization 40 days,Adult,25,42.901,18.4028,25,12.346,13.3449
a21,Jutfelt et al,2013,2013,Behavioural Disturbances in a Temperate Fish Exposed to Sustained High-CO2 Levels,PLOS One,3.534,2.766,21,Strong,Gasterosteus aculeatus,Subtrop,Yes,Novel object,Time spent investigating,Adult,20,68.605,35.3612,20,13.953,15.5988
a21,Jutfelt et al,2013,2013,Behavioural Disturbances in a Temperate Fish Exposed to Sustained High-CO2 Levels,PLOS One,3.534,2.766,21,Strong,Gasterosteus aculeatus,Subtrop,Yes,Shelter,Escape time 20 days,Adult,20,27.261,54.891,20,36.047,55.4679
a21,Jutfelt et al,2013,2013,Behavioural Disturbances in a Temperate Fish Exposed to Sustained High-CO2 Levels,PLOS One,3.534,2.766,21,Strong,Gasterosteus aculeatus,Subtrop,Yes,Shelter,Escape time 40 days,Adult,20,5.556,3.4659,20,32.946,41.0229
a22,Lönnstedt et al,2013,2013,Ocean acidification and responses to predators: can sensory redundancy reduce the apparent impacts of elevated CO2 on fish?,Ecol Evol,1.658,2.34,28,Strong,Pomacentrus amboinensis,Trop,Yes,Predator,"Mean change bite rate, conspecific skin, Fig1",Larvae,29,18.121,16.9417,29,2.181,8.8101
a22,Lönnstedt et al,2013,2013,Ocean acidification and responses to predators: can sensory redundancy reduce the apparent impacts of elevated CO2 on fish?,Ecol Evol,1.658,2.34,28,Strong,Pomacentrus amboinensis,Trop,Yes,Predator,"Mean change bite rate, heterospecific skin, Fig1",Larvae,29,2.181,9.0363,29,0.671,7.2269
a22,Lönnstedt et al,2013,2013,Ocean acidification and responses to predators: can sensory redundancy reduce the apparent impacts of elevated CO2 on fish?,Ecol Evol,1.658,2.34,28,Strong,Pomacentrus amboinensis,Trop,No,-,"Mean change bite rate, saltwater control, Fig1",Larvae,29,1.846,8.1316,29,1.342,9.0363
a22,Lönnstedt et al,2013,2013,Ocean acidification and responses to predators: can sensory redundancy reduce the apparent impacts of elevated CO2 on fish?,Ecol Evol,1.658,2.34,28,Strong,Pomacentrus amboinensis,Trop,Yes,Predator,"Mean change activity, conspecific skin, Fig1",Larvae,29,13.652,17.5233,29,0.957,13.3983
a22,Lönnstedt et al,2013,2013,Ocean acidification and responses to predators: can sensory redundancy reduce the apparent impacts of elevated CO2 on fish?,Ecol Evol,1.658,2.34,28,Strong,Pomacentrus amboinensis,Trop,Yes,Predator,"Mean change activity, heterospecific skin, Fig1",Larvae,29,2.552,13.7429,29,0.893,10.9911
a22,Lönnstedt et al,2013,2013,Ocean acidification and responses to predators: can sensory redundancy reduce the apparent impacts of elevated CO2 on fish?,Ecol Evol,1.658,2.34,28,Strong,Pomacentrus amboinensis,Trop,No,-,"Mean change activity, saltwater control, Fig1",Larvae,29,1.148,8.2447,29,1.021,10.9911
a22,Lönnstedt et al,2013,2013,Ocean acidification and responses to predators: can sensory redundancy reduce the apparent impacts of elevated CO2 on fish?,Ecol Evol,1.658,2.34,28,Strong,Pomacentrus amboinensis,Trop,Yes,Predator,"Mean change in shelter use, conspecific skin, Fig1",Larvae,29,11.211,43.4691,29,0.897,9.661
a22,Lönnstedt et al,2013,2013,Ocean acidification and responses to predators: can sensory redundancy reduce the apparent impacts of elevated CO2 on fish?,Ecol Evol,1.658,2.34,28,Strong,Pomacentrus amboinensis,Trop,Yes,Predator,"Mean change in shelter use, heterospecific skin, Fig1",Larvae,29,0.747,4.0227,29,1.644,8.8532
a22,Lönnstedt et al,2013,2013,Ocean acidification and responses to predators: can sensory redundancy reduce the apparent impacts of elevated CO2 on fish?,Ecol Evol,1.658,2.34,28,Strong,Pomacentrus amboinensis,Trop,No,-,"Mean change in shelter use, saltwater control, Fig1",Larvae,29,1.644,8.8532,29,0.0001,6.4407
a22,Lönnstedt et al,2013,2013,Ocean acidification and responses to predators: can sensory redundancy reduce the apparent impacts of elevated CO2 on fish?,Ecol Evol,1.658,2.34,28,Strong,Pomacentrus amboinensis,Trop,Yes,Predator,"Mean change bite rate, predator, Fig2",Larvae,29,38.071,17.4264,29,32.487,13.6675
a22,Lönnstedt et al,2013,2013,Ocean acidification and responses to predators: can sensory redundancy reduce the apparent impacts of elevated CO2 on fish?,Ecol Evol,1.658,2.34,28,Strong,Pomacentrus amboinensis,Trop,Yes,Kin,"Mean change bite rate, goby, Fig2",Larvae,29,5.584,12.2997,29,0.508,10.9319
a22,Lönnstedt et al,2013,2013,Ocean acidification and responses to predators: can sensory redundancy reduce the apparent impacts of elevated CO2 on fish?,Ecol Evol,1.658,2.34,28,Strong,Pomacentrus amboinensis,Trop,No,-,"Mean change bite rate, empty bag, Fig2",Larvae,29,1.005,8.1208,29,-0.503,5.4121
a22,Lönnstedt et al,2013,2013,Ocean acidification and responses to predators: can sensory redundancy reduce the apparent impacts of elevated CO2 on fish?,Ecol Evol,1.658,2.34,28,Strong,Pomacentrus amboinensis,Trop,Yes,Predator,"Mean change activity, predator, Fig2",Larvae,29,41.371,30.0708,29,35.279,27.3351
a22,Lönnstedt et al,2013,2013,Ocean acidification and responses to predators: can sensory redundancy reduce the apparent impacts of elevated CO2 on fish?,Ecol Evol,1.658,2.34,28,Strong,Pomacentrus amboinensis,Trop,Yes,Kin,"Mean change activity, goby, Fig2",Larvae,29,4.315,16.4032,29,1.523,12.2997
a22,Lönnstedt et al,2013,2013,Ocean acidification and responses to predators: can sensory redundancy reduce the apparent impacts of elevated CO2 on fish?,Ecol Evol,1.658,2.34,28,Strong,Pomacentrus amboinensis,Trop,No,-,"Mean change activity, empty bag, Fig2",Larvae,29,4.315,9.5694,29,5.838,5.4659
a22,Lönnstedt et al,2013,2013,Ocean acidification and responses to predators: can sensory redundancy reduce the apparent impacts of elevated CO2 on fish?,Ecol Evol,1.658,2.34,28,Strong,Pomacentrus amboinensis,Trop,Yes,Predator,"Mean change shelter use, predator, Fig2",Larvae,29,81.678,102.4312,29,31.888,54.2286
a22,Lönnstedt et al,2013,2013,Ocean acidification and responses to predators: can sensory redundancy reduce the apparent impacts of elevated CO2 on fish?,Ecol Evol,1.658,2.34,28,Strong,Pomacentrus amboinensis,Trop,Yes,Kin,"Mean change shelter use, goby, Fig2",Larvae,29,-2.797,18.078,29,5.594,21.0883
a22,Lönnstedt et al,2013,2013,Ocean acidification and responses to predators: can sensory redundancy reduce the apparent impacts of elevated CO2 on fish?,Ecol Evol,1.658,2.34,28,Strong,Pomacentrus amboinensis,Trop,No,-,"Mean change shelter use, empty bag, Fig2",Larvae,29,-1.119,6.026,29,1.678,12.052
a22,Lönnstedt et al,2013,2013,Ocean acidification and responses to predators: can sensory redundancy reduce the apparent impacts of elevated CO2 on fish?,Ecol Evol,1.658,2.34,28,Strong,Pomacentrus amboinensis,Trop,Yes,Predator,"Mean change bite rate, skin, Fig3",Larvae,29,18.27,16.4032,29,2.132,11.4812
a22,Lönnstedt et al,2013,2013,Ocean acidification and responses to predators: can sensory redundancy reduce the apparent impacts of elevated CO2 on fish?,Ecol Evol,1.658,2.34,28,Strong,Pomacentrus amboinensis,Trop,Yes,Predator,"Mean change bite rate, predator, Fig3",Larvae,29,37.766,19.6828,29,32.589,16.4032
a22,Lönnstedt et al,2013,2013,Ocean acidification and responses to predators: can sensory redundancy reduce the apparent impacts of elevated CO2 on fish?,Ecol Evol,1.658,2.34,28,Strong,Pomacentrus amboinensis,Trop,Yes,Predator,"Mean change bite rate, combo, Fig3",Larvae,29,48.774,20.846,29,34.839,10.4203
a22,Lönnstedt et al,2013,2013,Ocean acidification and responses to predators: can sensory redundancy reduce the apparent impacts of elevated CO2 on fish?,Ecol Evol,1.658,2.34,28,Strong,Pomacentrus amboinensis,Trop,Yes,Predator,"Mean change activity, skin, Fig3",Larvae,29,13.434,17.1356,29,1.061,13.3283
a22,Lönnstedt et al,2013,2013,Ocean acidification and responses to predators: can sensory redundancy reduce the apparent impacts of elevated CO2 on fish?,Ecol Evol,1.658,2.34,28,Strong,Pomacentrus amboinensis,Trop,Yes,Predator,"Mean change activity, predator, Fig3",Larvae,29,41.364,28.5575,29,35,24.7502
a22,Lönnstedt et al,2013,2013,Ocean acidification and responses to predators: can sensory redundancy reduce the apparent impacts of elevated CO2 on fish?,Ecol Evol,1.658,2.34,28,Strong,Pomacentrus amboinensis,Trop,Yes,Predator,"Mean change activity, combo, Fig3",Larvae,29,54.645,31.6163,29,35.667,34.0504
a22,Lönnstedt et al,2013,2013,Ocean acidification and responses to predators: can sensory redundancy reduce the apparent impacts of elevated CO2 on fish?,Ecol Evol,1.658,2.34,28,Strong,Pomacentrus amboinensis,Trop,Yes,Predator,"Mean change shelter use, skin, Fig3",Larvae,29,11.474,45.3162,29,0.765,8.2393
a22,Lönnstedt et al,2013,2013,Ocean acidification and responses to predators: can sensory redundancy reduce the apparent impacts of elevated CO2 on fish?,Ecol Evol,1.658,2.34,28,Strong,Pomacentrus amboinensis,Trop,Yes,Predator,"Mean change shelter use, predator, Fig3",Larvae,29,81.858,102.9967,29,31.366,49.4358
a22,Lönnstedt et al,2013,2013,Ocean acidification and responses to predators: can sensory redundancy reduce the apparent impacts of elevated CO2 on fish?,Ecol Evol,1.658,2.34,28,Strong,Pomacentrus amboinensis,Trop,Yes,Predator,"Mean change shelter use, combo, Fig3",Larvae,29,103.521,84.951,29,41.408,53.0923
a22,Lönnstedt et al,2013,2013,Ocean acidification and responses to predators: can sensory redundancy reduce the apparent impacts of elevated CO2 on fish?,Ecol Evol,1.658,2.34,28,Strong,Pomacentrus amboinensis,Trop,Yes,Predator,"Number of bobbing events, skin extract",Larvae,15,0.459,0.488,15,0.0001,0.0004
a22,Lönnstedt et al,2013,2013,Ocean acidification and responses to predators: can sensory redundancy reduce the apparent impacts of elevated CO2 on fish?,Ecol Evol,1.658,2.34,28,Strong,Pomacentrus amboinensis,Trop,Yes,Predator,"Number of bobbing events, predator",Larvae,15,0.963,0.1433,15,0.079,0.1433
a22,Lönnstedt et al,2013,2013,Ocean acidification and responses to predators: can sensory redundancy reduce the apparent impacts of elevated CO2 on fish?,Ecol Evol,1.658,2.34,28,Strong,Pomacentrus amboinensis,Trop,Yes,Predator,"Number of bobbing events, combo",Larvae,15,1,0.0004,15,0.144,0.1782
a23,McCormick et al,2013,2013,Ocean acidification reverses competition for space as habitats degrade,Sci Rep,5.078,4.122,42,No,Pomacentrus moluccensis,Trop,Yes,Shelter,Distance ventured from shelter,Larvae,29,4.366,4.222,29,3.801,4.6044
a23,McCormick et al,2013,2013,Ocean acidification reverses competition for space as habitats degrade,Sci Rep,5.078,4.122,42,No,Pomacentrus amboinensis,Trop,Yes,Shelter,Distance ventured from shelter,Larvae,29,2.258,4.222,29,8.43,4.7982
a23,McCormick et al,2013,2013,Ocean acidification reverses competition for space as habitats degrade,Sci Rep,5.078,4.122,42,No,Pomacentrus moluccensis,Trop,Yes,Shelter,Height rank,Larvae,55,0.747,0.2744,55,0.592,0.2596
a23,McCormick et al,2013,2013,Ocean acidification reverses competition for space as habitats degrade,Sci Rep,5.078,4.122,42,No,Pomacentrus amboinensis,Trop,Yes,Shelter,Height rank,Larvae,55,0.164,0.267,55,0.267,0.267
a24,Munday et al,2012,2013,Elevated CO2 affects the behavior of an ecologically and economically important coral reef fish,Mar Biol,2.468,2.215,13,Strong,Plectropomus leopardus,Trop,Yes,Predator,"% time in cue, 570 uatm, Day 4",Juvenile,20,6.23,4.262,20,10.164,4.262
a24,Munday et al,2012,2013,Elevated CO2 affects the behavior of an ecologically and economically important coral reef fish,Mar Biol,2.468,2.215,13,Strong,Plectropomus leopardus,Trop,Yes,Predator,"% time in cue, 700 uatm, Day 4",Juvenile,20,6.23,4.262,20,46.885,40.657
a24,Munday et al,2012,2013,Elevated CO2 affects the behavior of an ecologically and economically important coral reef fish,Mar Biol,2.468,2.215,13,Strong,Plectropomus leopardus,Trop,Yes,Predator,"% time in cue, 960 uatm, Day 4",Juvenile,20,6.23,4.262,20,91.148,4.918
a24,Munday et al,2012,2013,Elevated CO2 affects the behavior of an ecologically and economically important coral reef fish,Mar Biol,2.468,2.215,13,Strong,Plectropomus leopardus,Trop,Yes,Predator,"% time in cue, 570 uatm, Day 28",Juvenile,20,9.18,3.607,20,10.82,3.934
a24,Munday et al,2012,2013,Elevated CO2 affects the behavior of an ecologically and economically important coral reef fish,Mar Biol,2.468,2.215,13,Strong,Plectropomus leopardus,Trop,Yes,Predator,"% time in cue, 700 uatm, Day 28",Juvenile,20,9.18,3.607,20,47.213,40.656
a24,Munday et al,2012,2013,Elevated CO2 affects the behavior of an ecologically and economically important coral reef fish,Mar Biol,2.468,2.215,13,Strong,Plectropomus leopardus,Trop,Yes,Predator,"% time in cue, 960 uatm, Day 28",Juvenile,20,9.18,3.607,20,90.82,4.918
a24,Munday et al,2012,2013,Elevated CO2 affects the behavior of an ecologically and economically important coral reef fish,Mar Biol,2.468,2.215,13,Strong,Plectropomus leopardus,Trop,Yes,Shelter,"% time hiding, 570 uatm",Juvenile,10,79.31,9.655,10,74.483,4.828
a24,Munday et al,2012,2013,Elevated CO2 affects the behavior of an ecologically and economically important coral reef fish,Mar Biol,2.468,2.215,13,Strong,Plectropomus leopardus,Trop,Yes,Shelter,"% time hiding, 700 uatm",Juvenile,10,79.31,9.655,10,39.31,8.276
a24,Munday et al,2012,2013,Elevated CO2 affects the behavior of an ecologically and economically important coral reef fish,Mar Biol,2.468,2.215,13,Strong,Plectropomus leopardus,Trop,Yes,Shelter,"% time hiding, 960 uatm",Juvenile,10,79.31,9.655,10,8.966,2.069
a24,Munday et al,2012,2013,Elevated CO2 affects the behavior of an ecologically and economically important coral reef fish,Mar Biol,2.468,2.215,13,Strong,Plectropomus leopardus,Trop,Yes,Shelter,"Mean line crosses, 570 uatm",Juvenile,10,4.969,0.0001,10,9.938,0.001
a24,Munday et al,2012,2013,Elevated CO2 affects the behavior of an ecologically and economically important coral reef fish,Mar Biol,2.468,2.215,13,Strong,Plectropomus leopardus,Trop,Yes,Shelter,"Mean line crosses, 700 uatm",Juvenile,10,4.969,0.0001,10,44.72,12.422
a24,Munday et al,2012,2013,Elevated CO2 affects the behavior of an ecologically and economically important coral reef fish,Mar Biol,2.468,2.215,13,Strong,Plectropomus leopardus,Trop,Yes,Shelter,"Mean line crosses, 960 uatm",Juvenile,10,4.969,0.0001,10,320.469,37.267
a24,Munday et al,2012,2013,Elevated CO2 affects the behavior of an ecologically and economically important coral reef fish,Mar Biol,2.468,2.215,13,Strong,Plectropomus leopardus,Trop,Yes,Shelter,"Distance from shelter, 570 uatm",Juvenile,10,6.316,3.308,10,13.835,2.707
a24,Munday et al,2012,2013,Elevated CO2 affects the behavior of an ecologically and economically important coral reef fish,Mar Biol,2.468,2.215,13,Strong,Plectropomus leopardus,Trop,Yes,Shelter,"Distance from shelter, 700 uatm",Juvenile,10,6.316,3.308,10,30.075,2.406
a24,Munday et al,2012,2013,Elevated CO2 affects the behavior of an ecologically and economically important coral reef fish,Mar Biol,2.468,2.215,13,Strong,Plectropomus leopardus,Trop,Yes,Shelter,"Distance from shelter, 960 uatm",Juvenile,10,6.316,3.308,10,36.391,0.0001
a24,Munday et al,2012,2013,Elevated CO2 affects the behavior of an ecologically and economically important coral reef fish,Mar Biol,2.468,2.215,13,Strong,Plectropomus leopardus,Trop,Yes,Shelter,"Emergence time from hiding, 570 uatm",Juvenile,10,536.986,38.356,10,575.342,14.384
a24,Munday et al,2012,2013,Elevated CO2 affects the behavior of an ecologically and economically important coral reef fish,Mar Biol,2.468,2.215,13,Strong,Plectropomus leopardus,Trop,Yes,Shelter,"Emergence time from hiding, 700 uatm",Juvenile,10,536.986,38.356,10,383.562,33.562
a24,Munday et al,2012,2013,Elevated CO2 affects the behavior of an ecologically and economically important coral reef fish,Mar Biol,2.468,2.215,13,Strong,Plectropomus leopardus,Trop,Yes,Shelter,"Emergence time from hiding, 960 uatm",Juvenile,10,536.986,38.356,10,100.685,23.973
a25,Allan et al,2014,2014,Parental effects improve escape performance of juvenile reef fish in a high-CO2 world,Proc R Soc B,5.051,4.847,42,Strong,Amphiprion melanopus,Trop,Yes,Mimicked threat,"Response distance, ctrl-high",Juvenile,45,20.833,7.9828,43,15.179,12.4919
a25,Allan et al,2014,2014,Parental effects improve escape performance of juvenile reef fish in a high-CO2 world,Proc R Soc B,5.051,4.847,42,Strong,Amphiprion melanopus,Trop,Yes,Mimicked threat,"Response distance, high-high",Juvenile,45,20.833,7.9828,37,18.75,7.7738
a25,Allan et al,2014,2014,Parental effects improve escape performance of juvenile reef fish in a high-CO2 world,Proc R Soc B,5.051,4.847,42,Strong,Amphiprion melanopus,Trop,Yes,Mimicked threat,"Mean speed, ctrl-high",Juvenile,45,0.265,0.1275,43,0.195,0.1246
a25,Allan et al,2014,2014,Parental effects improve escape performance of juvenile reef fish in a high-CO2 world,Proc R Soc B,5.051,4.847,42,Strong,Amphiprion melanopus,Trop,Yes,Mimicked threat,"Mean speed, high-high",Juvenile,45,0.265,0.1275,37,0.242,0.1034
a25,Allan et al,2014,2014,Parental effects improve escape performance of juvenile reef fish in a high-CO2 world,Proc R Soc B,5.051,4.847,42,Strong,Amphiprion melanopus,Trop,Yes,Mimicked threat,"Maximum speed, ctrl-high",Juvenile,45,0.923,0.2214,43,0.681,0.2885
a25,Allan et al,2014,2014,Parental effects improve escape performance of juvenile reef fish in a high-CO2 world,Proc R Soc B,5.051,4.847,42,Strong,Amphiprion melanopus,Trop,Yes,Mimicked threat,"Maximum speed, high-high",Juvenile,45,0.923,0.2214,37,0.864,0.2372
a25,Allan et al,2014,2014,Parental effects improve escape performance of juvenile reef fish in a high-CO2 world,Proc R Soc B,5.051,4.847,42,Strong,Amphiprion melanopus,Trop,Yes,Mimicked threat,"Response duration, ctrl-high",Juvenile,45,0.477,0.2281,43,0.307,0.2557
a25,Allan et al,2014,2014,Parental effects improve escape performance of juvenile reef fish in a high-CO2 world,Proc R Soc B,5.051,4.847,42,Strong,Amphiprion melanopus,Trop,Yes,Mimicked threat,"Response duration, high-high",Juvenile,45,0.477,0.2281,37,0.383,0.1642
a25,Allan et al,2014,2014,Parental effects improve escape performance of juvenile reef fish in a high-CO2 world,Proc R Soc B,5.051,4.847,42,Strong,Amphiprion melanopus,Trop,Yes,Mimicked threat,"Response latency, ctrl-high",Juvenile,46,18.75,8.1524,34,19.231,8.4082
a25,Allan et al,2014,2014,Parental effects improve escape performance of juvenile reef fish in a high-CO2 world,Proc R Soc B,5.051,4.847,42,Strong,Amphiprion melanopus,Trop,Yes,Mimicked threat,"Response latency, high-high",Juvenile,46,18.75,8.1524,34,17.335,8.3558
